,,Bee,Bee,Bee,Bee,NoBee,NoBee,NoBee,NoBee,macro avg,macro avg,macro avg,macro avg,weighted avg,weighted avg,weighted avg,weighted avg,features,features,features,features,features,features,features,features,features
,accuracy,f1-score,precision,recall,support,f1-score,precision,recall,support,f1-score,precision,recall,support,f1-score,precision,recall,support,cqt,mfccs,flatness,spectral_centroid,spectral_rolloff,spectral_contrast,zero_crossing_rate,chroma,STFT
0,0.5306911088400613,0.3896157840083074,0.5570732866136121,0.2995656617271334,15656.0,0.6187968559495706,0.5209889485869043,0.7618165559529892,15656.0,0.504206319978939,0.5390311176002582,0.5306911088400613,31312.0,0.5042063199789389,0.5390311176002582,0.5306911088400613,31312.0,False,False,False,False,False,False,False,False,True
1,0.5684721512519162,0.5628033391574451,0.5702950819672131,0.5555058763413387,15656.0,0.5739958383252413,0.5667413771634915,0.5814384261624936,15656.0,0.5683995887413431,0.5685182295653524,0.5684721512519162,31312.0,0.5683995887413431,0.5685182295653524,0.5684721512519162,31312.0,False,False,False,False,False,False,False,True,False
2,0.5127746550843127,0.4968005805132265,0.5136407038603192,0.4810296371997956,15656.0,0.5277657401101962,0.512012012012012,0.5445196729688299,15656.0,0.5122831603117113,0.5128263579361656,0.5127746550843127,31312.0,0.5122831603117114,0.5128263579361656,0.5127746550843127,31312.0,False,False,False,False,False,False,True,False,False
3,0.6100536535513541,0.5772746157041961,0.6302540066525552,0.5325114971895759,15656.0,0.6381149970361589,0.595277593452776,0.6875958099131323,15656.0,0.6076948063701775,0.6127658000526656,0.6100536535513541,31312.0,0.6076948063701776,0.6127658000526656,0.6100536535513541,31312.0,False,False,False,False,False,True,False,False,False
4,0.5439448134900358,0.5544183724413381,0.5419716935090287,0.5674501788451711,15656.0,0.532967032967033,0.546112600536193,0.5204394481349004,15656.0,0.5436927027041856,0.5440421470226109,0.5439448134900358,31312.0,0.5436927027041855,0.5440421470226109,0.5439448134900358,31312.0,False,False,False,False,True,False,False,False,False
5,0.5625638732754216,0.5649674448149913,0.5618800934992735,0.5680889115993868,15656.0,0.5601335945277627,0.5632629335400117,0.5570388349514563,15656.0,0.5625505196713769,0.5625715135196425,0.5625638732754216,31312.0,0.5625505196713769,0.5625715135196425,0.5625638732754216,31312.0,False,False,False,True,False,False,False,False,False
6,0.5528551354113439,0.5462029624347713,0.5544515364874646,0.538196218702095,15656.0,0.5593150986748922,0.5513496742165684,0.5675140521205927,15656.0,0.5527590305548318,0.5529006053520165,0.5528551354113438,31312.0,0.5527590305548318,0.5529006053520166,0.5528551354113439,31312.0,False,False,True,False,False,False,False,False,False
7,0.6097981604496678,0.6253296534805275,0.6013920018874602,0.6512519161982626,15656.0,0.5929233024588526,0.6197241955704137,0.5683444047010731,15656.0,0.6091264779696901,0.610558098728937,0.6097981604496678,31312.0,0.60912647796969,0.6105580987289368,0.6097981604496678,31312.0,False,True,False,False,False,False,False,False,False
8,0.5406553398058253,0.5307187836471011,0.5424531448009071,0.5194813490035769,15656.0,0.5501798279906177,0.5390036154176113,0.5618293306080736,15656.0,0.5404493058188594,0.5407283801092593,0.5406553398058253,31312.0,0.5404493058188593,0.5407283801092593,0.5406553398058253,31312.0,True,False,False,False,False,False,False,False,False
